global_step,episode,ep_step,reward,d_obs,w,r_track,r_obs,r_manip,r_energy,r_collision,collision_penalty,critic_loss,actor_rl_loss,physics_loss,actor_loss,alpha
0,0,0,-3.179029670676636,0.23976726322020306,3.4308472504714795e-05,-0.6463185353685064,0.0,-1.0251387608525977,-1.4977102021182926,-0.009862172337239131,0.009862172337239131,,,,,
1,0,1,-3.7295869670500887,0.23976726322020306,0.00011829731519273413,-0.639488303234125,0.0,-0.9033891733784769,-2.1807198011649875,-0.005989689272499583,0.005989689272499583,,,,,
2,0,2,-3.9824207588615796,0.23976726322020306,0.0003107298812022244,-0.6266483022047298,0.0,-0.8073373510523574,-2.5449193613332044,-0.0035157442712879148,0.0035157442712879148,,,,,
3,0,3,-7.439486930667123,0.23976726322020306,0.0008344284520559691,-0.6017507466332943,0.0,-0.7087565848477846,-6.126960194564187,-0.002019404621857463,0.002019404621857463,,,,,
4,0,4,-17.685079020123705,0.23976726322020306,0.002381916995290049,-0.5412002189223624,0.0,-0.603942991349482,-16.538912197389326,-0.001023612462536521,0.001023612462536521,,,,,
5,0,5,-36.9955063642008,0.20900703892694214,0.01128928283632848,-0.342886462635071,0.0,-0.4483812849200926,-36.20423850327609,-1.1336955312343022e-07,1.1336955312343022e-07,,,,,
6,0,6,-307.9544474927956,0.09556521054113157,0.012291898329967464,-0.31411362893671596,-0.2217394729434219,-0.4398733554894263,-306.97262386645525,-0.006097168970838539,0.006097168970838539,,,,,
7,0,7,-52.51613483437814,0.056736020692325945,0.042068124016911804,-0.47588706461323277,-2.1631989653837027,-0.316844120363329,-49.45354395542403,-0.10666072859384483,0.10666072859384483,,,,,
8,0,8,-29.504244196943556,0.11615807018024166,0.07698682031605139,-0.6979988069722922,0.0,-0.25641080473534855,-28.549834585235917,-0.0,0.0,,,,,
9,0,9,-51.356561715526574,0.10919769016512998,0.0676423996493281,-0.66363075427478,0.0,-0.2693505495284457,-6.780313601765256,-43.64326680995809,43.64326680995809,,,,,
10,0,10,-6.162864452651982,0.07020200600660467,0.056465090194681426,-0.6289949899526502,-1.4898996996697667,-0.28741149945514405,-1.652580487643293,-2.103977775931128,2.103977775931128,,,,,
11,0,11,-3.4464636268310946,0.055294017136903184,0.052766698626287634,-0.6105847759546136,-2.235299143154841,-0.2941856043918112,-0.29661083071731553,-0.009783272612513227,0.009783272612513227,,,,,
12,0,12,-3.8780255880266274,0.05088106732714773,0.051685102589768286,-0.6022403131995154,-2.455946633642614,-0.2962566342311834,-0.5206809472148907,-0.0029010597384238057,0.0029010597384238057,,,,,
13,0,13,-3.8566789383272106,0.051783855706870247,0.05166478455473769,-0.5995043203449425,-2.410807214656488,-0.2962959524010857,-0.5498920382183371,-0.0001794127063572074,0.0001794127063572074,,,,,
14,0,14,-4.866872473899025,0.057065280940390206,0.0528807905058214,-0.5977557175191757,-2.1467359529804897,-0.29396962242195496,-1.8284110038374775,-1.7713992675511114e-07,1.7713992675511114e-07,,,,,
15,0,15,-3.5167085440191848,0.06769719201107241,0.055133773216144114,-0.6006167898008526,-1.6151403994463798,-0.28979746690266384,-1.0111537107293618,-1.7713992675566452e-07,1.7713992675566452e-07,,,,,
16,0,16,-2.4129237304365776,0.08134410218947288,0.057645124263455264,-0.6067453854680828,-0.9327948905263561,-0.2853432263261536,-0.5880401147464317,-1.1336955312380838e-07,1.1336955312380838e-07,,,,,
17,0,17,-2.087703517065069,0.09495125381359296,0.059624316573602655,-0.6078333757124014,-0.25243730932035247,-0.28196750203772003,-0.9454652166250415,-1.1336955312392257e-07,1.1336955312392257e-07,,,,,
