
libgomp: Invalid value for environment variable OMP_NUM_THREADS
[MPC] WARNING: cvxpy not found. MPC controller disabled.
[dynamics] Loaded model 'panda' with 7 DOF.
[Validation] Loaded 100 validation scenes from results/trajectories_obs.json
[train] Fixed scene mode: scene_id=1, start=[0.524778015512503, -0.24007752906504798, 0.39935327554257705], goal=[0.524778015512503, 0.24007752906504798, 0.39935327554257705], obstacles=5
[kinematics] Loaded model, n_joints=7, ee_frame='panda_hand_tcp_joint'
[dynamics] Loaded model 'panda' with 7 DOF.
[env] MuJoCo model loaded: /root/manipulator/models/panda_scene.xml
Run directory: checkpoints/run_20260503_215133
 Episode    Steps     Reward    L_actor      L_dyn    d_obs
------------------------------------------------------------
      10     1930   -529.620     0.0000     0.0000   -0.137
      20     3860   -530.754     0.0000     0.0000   -0.146
      30     5790   -526.224     0.0000     0.0000   -0.146
      40     7720   -528.752     0.0000     0.0000   -0.148
      50     9650   -527.810     0.0000     0.0000   -0.150
      60    11580   -508.171   346.1652     0.0215   -0.149
      70    13510   -518.419   704.1918     0.0347   -0.146
      80    15440   -550.022   603.4466     0.0140   -0.144
      90    17370   -497.401   508.8276     0.0121   -0.150
     100    19300   -476.714   454.0122     0.0072   -0.150
     110    21230   -525.616   412.4167     0.0061   -0.132
     120    23160   -516.646   386.1816     0.0055   -0.126
     130    25090   -478.985   374.3405     0.0076   -0.138
     140    27020   -461.947   370.4637     0.0050   -0.146
     150    28950   -461.668   369.7652     0.0051   -0.151
     160    30880   -454.788   369.3432     0.0044   -0.134
     170    32810   -456.651   368.2727     0.0048   -0.140
     180    34740   -450.987   366.4237     0.0061   -0.139
     190    36670   -450.549   364.4783     0.0060   -0.141
     200    38600   -452.440   361.1502     0.0059   -0.105
     210    40530   -420.800   354.9406     0.0099   -0.119
     220    42460   -387.465   351.5972     0.0125   -0.105
     230    44390   -365.651   349.9919     0.0104   -0.087
     240    46320   -343.445   350.8210     0.0100   -0.057
     250    48250   -338.541   351.1093     0.0110   -0.055
     260    50180   -338.058   348.7922     0.0109   -0.054
     270    52110   -337.285   346.4482     0.0091   -0.052
     280    54040   -331.717   344.4759     0.0082   -0.055
     290    55970   -336.607   343.6838     0.0080   -0.056
     300    57900   -331.328   342.4732     0.0077   -0.050
     310    59830   -332.133   341.1659     0.0075   -0.052
     320    61760   -330.407   339.4658     0.0073   -0.054
     330    63690   -331.835   338.6277     0.0069   -0.053
     340    65620   -332.243   337.3818     0.0069   -0.058
     350    67550   -330.579   335.9389     0.0064   -0.052
     360    69480   -329.499   334.6684     0.0067   -0.051
