
libgomp: Invalid value for environment variable OMP_NUM_THREADS
[MPC] WARNING: cvxpy not found. MPC controller disabled.
[dynamics] Loaded model 'panda' with 7 DOF.
[Validation] Loaded 100 validation scenes from results/trajectories_obs.json
[train] Fixed scene mode: scene_id=1, start=[0.524778015512503, -0.24007752906504798, 0.39935327554257705], goal=[0.524778015512503, 0.24007752906504798, 0.39935327554257705], obstacles=5
[kinematics] Loaded model, n_joints=7, ee_frame='panda_hand_tcp_joint'
[dynamics] Loaded model 'panda' with 7 DOF.
[env] MuJoCo model loaded: /root/manipulator/models/panda_scene.xml
Run directory: checkpoints/run_20260503_230159
 Episode    Steps     Reward    L_actor      L_dyn    d_obs
------------------------------------------------------------
      10     1930   -324.281     0.0000     0.0000   -0.149
      20     3860   -307.316   371.3250     0.4835   -0.143
      30     5790   -311.055   574.7576     0.2130   -0.105
      40     7720   -284.127   521.0612     0.0926   -0.108
      50     9650   -283.138   394.7712     0.0635   -0.116
      60    11580   -302.757   291.8765     0.0317   -0.122
      70    13510   -292.345   231.5232     0.0391   -0.138
      80    15440   -261.339   209.1055     0.0324   -0.101
      90    17370   -238.319   202.0233     0.0278   -0.093
     100    19300   -188.555   200.7914     0.0283   -0.063
     110    21230   -259.361   199.9502     0.0330   -0.143
     120    23160   -257.037   198.1673     0.0246   -0.139
     130    25090   -189.839   201.3918     0.0253   -0.091
     140    27020   -181.886   198.9048     0.0265   -0.076
     150    28950   -172.604   198.0084     0.0219   -0.088
     160    30880   -165.734   196.6072     0.0208   -0.076
     170    32810   -239.172   191.5145     0.0253   -0.116
     180    34740   -245.322   188.6987     0.0222   -0.108
     190    36670   -229.082   188.4936     0.0236   -0.107
     200    38600   -159.589   189.7482     0.0293   -0.072
     210    40530   -147.884   191.0123     0.0223   -0.087
     220    42460   -157.505   191.3598     0.0193   -0.110
     230    44390   -153.125   191.0824     0.0248   -0.065
     240    46320   -146.733   188.5947     0.0208   -0.053
     250    48250   -214.976   185.0071     0.0197   -0.139
     260    50180   -154.210   181.1895     0.0216   -0.070
     270    52110   -136.443   179.3230     0.0252   -0.072
     280    54040   -152.391   176.6979     0.0215   -0.060
     290    55970   -141.286   175.5883     0.0242   -0.070
     300    57900   -140.952   173.3339     0.0209   -0.051
     310    59830   -145.538   169.6727     0.0245   -0.067
     320    61760   -131.914   168.3049     0.0235   -0.057
     330    63690   -126.484   165.9948     0.0198   -0.054
     340    65620   -125.272   163.9649     0.0232   -0.047
     350    67550   -126.799   161.3290     0.0255   -0.052
     360    69480   -126.237   159.5101     0.0253   -0.056
     370    71410   -131.461   157.5299     0.0203   -0.058
     380    73340   -126.812   155.8840     0.0212   -0.059
     390    75270   -128.370   154.6941     0.0248   -0.051
     400    77200   -126.028   153.6897     0.0248   -0.050
     410    79130   -126.998   152.8442     0.0194   -0.050
     420    81060   -128.661   151.5492     0.0211   -0.053
     430    82990   -127.818   149.4324     0.0188   -0.055
     440    84920   -127.378   148.6984     0.0224   -0.051
     450    86850   -123.008   147.4448     0.0165   -0.051
     460    88780   -128.044   145.4759     0.0166   -0.061
     470    90710   -127.597   144.1907     0.0164   -0.056
     480    92640   -123.818   143.5133     0.0177   -0.050
     490    94570   -123.759   142.2627     0.0219   -0.051
     500    96500   -121.946   141.0715     0.0223   -0.048
     510    98430   -123.211   140.6811     0.0211   -0.050
     520   100360   -125.403   139.1152     0.0210   -0.052
     530   102290   -122.980   138.2090     0.0145   -0.050
     540   104220   -122.383   136.5472     0.0186   -0.051
     550   106150   -123.328   133.9585     0.0181   -0.052
     560   108080   -123.384   132.8728     0.0187   -0.049
     570   110010   -122.206   130.4925     0.0157   -0.050
